color,fuelTypeId,fuelType,id,km,make,makeId,model,modelId,price,province,provinceId,title,transmissionType,transmissionTypeId,year,seller_type,bodyType,cubicCapacity,doors,hp,url,publicationDate,fecha
BLACK,1,Diésel,54778204,33900,AUDI,4,A3,345,41500,Madrid,28,AUDI A3 Sportback Genuine Ed 35 TDI 110kW S tron 5p,AUTOMATIC,1,2020,profesional,Berlina,1968,5,150,https://www.coches.net/audi-a3-sportback-genuine-ed-35-tdi-110kw-s-tron-5p-diesel-2020-en-madrid-54778204-covo.aspx,2023-04-09T124539+0200,2023-04-09T153904+0200
WHITE,2,Gasolina,54800317,16294,AUDI,4,A1,966,23900,Barcelona,8,AUDI A1 Sportback Adrenalin 25 TFSI 70kW 95CV 5p,MANUAL,2,2021,profesional,Berlina,999,5,95,https://www.coches.net/audi-a1-sportback-adrenalin-25-tfsi-70kw-95cv-5p-gasolina-2021-en-barcelona-54800317-covo.aspx,2023-04-08T181345+0200,2023-04-09T153920+0200
BLUE,1,Diésel,54630422,113865,AUDI,4,Q3,999,26475,Sevilla,41,AUDI Q3 Design ed 2.0 TDI 110kW150CV quat S tr 5p,AUTOMATIC,1,2017,profesional,4x4 SUV,1968,5,150,https://www.coches.net/audi-q3-design-ed-20-tdi-110kw150cv-quat-s-tr-5p-diesel-2017-en-sevilla-54630422-covo.aspx,2023-04-08T180946+0200,2023-04-09T153931+0200
GRAY,2,Gasolina,54321181,22379,AUDI,4,A1,966,26800,Málaga,29,AUDI A1 Sportback Adrenalin 25 TFSI 70kW 95CV 5p,MANUAL,2,2022,profesional,Berlina,999,5,95,https://www.coches.net/audi-a1-sportback-adrenalin-25-tfsi-70kw-95cv-5p-gasolina-2022-en-malaga-54321181-covo.aspx,2023-04-09T131238+0200,2023-04-09T153945+0200
GRAY,1,Diésel,54755430,106239,AUDI,4,Q2,1199,20490,Cádiz,11,AUDI Q2 Advanced 30 TDI 85kW 116CV 5p,MANUAL,2,2018,profesional,4x4 SUV,1598,5,116,https://www.coches.net/audi-q2-advanced-30-tdi-85kw-116cv-5p-diesel-2019-en-cadiz-54755430-covo.aspx,2023-04-08T180145+0200,2023-04-09T154000+0200
GRAY,1,Diésel,54785029,73192,AUDI,4,A3,345,22000,Madrid,28,AUDI A3 Sedan 2.0 TDI clean 150 S tro Attraction 4p,AUTOMATIC,1,2016,profesional,Berlina,1968,4,150,https://www.coches.net/audi-a3-sedan-20-tdi-clean-150-s-tro-attraction-4p-diesel-2016-en-madrid-54785029-covo.aspx,2023-04-08T180145+0200,2023-04-09T154013+0200
WHITE,1,Diésel,54805480,18803,AUDI,4,Q2,1199,29890,Madrid,28,AUDI Q2 Sport 30 TDI 85kW 116CV S tronic 5p,AUTOMATIC,1,2019,profesional,4x4 SUV,1598,5,116,https://www.coches.net/audi-q2-sport-30-tdi-85kw-116cv-s-tronic-5p-diesel-2019-en-madrid-54805480-covo.aspx,2023-04-09T095143+0200,2023-04-09T154022+0200
WHITE,2,Gasolina,53883643,49000,AUDI,4,Q3,999,30990,Málaga,29,AUDI Q3 35 TFSI 110kW 150CV 5p,MANUAL,2,2019,profesional,4x4 SUV,1498,5,150,https://www.coches.net/audi-q3-35-tfsi-110kw-150cv-5p-gasolina-2019-en-malaga-53883643-covo.aspx,2023-04-08T180044+0200,2023-04-09T154031+0200
RED,2,Gasolina,54288351,17478,AUDI,4,A1,966,23700,Alicante,3,AUDI A1 Sportback Advanced 25 TFSI 70kW 95CV 5p,MANUAL,2,2022,profesional,Berlina,999,5,95,https://www.coches.net/audi-a1-sportback-advanced-25-tfsi-70kw-95cv-5p-gasolina-2022-en-alicante-54288351-covo.aspx,2023-04-09T130638+0200,2023-04-09T154041+0200
BLACK,1,Diésel,54654503,98207,AUDI,4,A3,345,21900,Asturias,33,AUDI A3 Design 30 TDI 85kW 116CV Sportback 5p,MANUAL,2,2018,profesional,Berlina,1598,5,116,https://www.coches.net/audi-a3-design-30-tdi-85kw-116cv-sportback-5p-diesel-2019-en-asturias-54654503-covo.aspx,2023-04-08T175845+0200,2023-04-09T154053+0200
GRAY,2,Gasolina,54274750,17534,AUDI,4,A3,345,33400,Alicante,3,AUDI A3 Sportback S line 35 TFSI 110kW 150CV 5p,AUTOMATIC,1,2022,profesional,Berlina,1498,5,150,https://www.coches.net/audi-a3-sportback-s-line-35-tfsi-110kw-150cv-5p-gasolina-2022-en-alicante-54274750-covo.aspx,2023-04-09T112243+0200,2023-04-09T154106+0200
GRAY,1,Diésel,54371420,17000,AUDI,4,A3,345,32900,Zaragoza,50,AUDI A3 Sedan S line 35 TDI 110kW S tronic 4p,AUTOMATIC,1,2021,profesional,Berlina,1968,4,150,https://www.coches.net/audi-a3-sedan-s-line-35-tdi-110kw-s-tronic-diesel-2021-en-zaragoza-54371420-covo.aspx,2023-04-08T175045+0200,2023-04-09T154116+0200
BLUE,1,Diésel,54481335,132000,AUDI,4,A3,345,17100,Tarragona,43,AUDI A3 1.6 TDI 85kW 116CV S tronic Sportback 5p,AUTOMATIC,1,2018,particular,Berlina,1598,5,116,https://www.coches.net/audi-a3-16-tdi-85kw-116cv-s-tronic-sportback-5p-diesel-2018-en-tarragona-54481335-covo.aspx,2023-04-09T054037+0200,2023-04-09T154126+0200
BLACK,1,Diésel,54805595,73084,AUDI,4,A6,27,39490,Madrid,28,AUDI A6 50 TDI 210kW 286CV quattro tiptronic 4p,AUTOMATIC,1,2018,profesional,Berlina,2967,4,286,https://www.coches.net/audi-a6-50-tdi-210kw-286cv-quattro-tiptronic-4p-diesel-2018-en-madrid-54805595-covo.aspx,2023-04-08T175002+0200,2023-04-09T154139+0200
GRAY,2,Gasolina,54809634,21259,AUDI,4,A1,966,25350,Málaga,29,AUDI A1 Sportback Advanced 25 TFSI 70kW 95CV 5p,MANUAL,2,2022,profesional,Berlina,999,5,95,https://www.coches.net/audi-a1-sportback-advanced-25-tfsi-70kw-95cv-5p-gasolina-2022-en-malaga-54809634-covo.aspx,2023-04-09T102943+0200,2023-04-09T154152+0200
