,fuelType,fuelTypeId,color,id,km,make,makeId,model,modelId,province,provinceId,price,title,transmissionType,transmissionTypeId,year,seller_type,seller_type_id,body_types,body_types_id,cubicCapacity,doors,hp,url,date
1773,Diésel,1.0,COMMON.COLOR_GRAY,54739279.0,130955.0,MAZDA,27.0,Mazda6,453.0,Pontevedra,36.0,16850.0,MAZDA Mazda6 2.2 DE 110kW 150CV Style WGN 5p.,COMMON.TRANSMISSION_AUTOMATIC,1.0,2017.0,profesional,1.0,familiar,4.0,2191.0,5.0,150.0,https://www.coches.net/mazda-mazda6-22-de-110kw-150cv-style-wgn-5p-diesel-2018-en-pontevedra-54739279-covo.aspx,2023-04-12 20:13:11
1774,Diésel,1.0,COMMON.COLOR_GRAY,54328528.0,89950.0,MAZDA,27.0,CX3,1140.0,Sta. C. Tenerife,38.0,17990.0,MAZDA CX3 1.5 SKYACTIV DE 77kW Luxury 2WD,COMMON.TRANSMISSION_MANUAL,2.0,2017.0,profesional,1.0,4x4 suv,6.0,1499.0,5.0,105.0,https://www.coches.net/mazda-cx3-15-skyactiv-de-77kw-luxury-2wd-diesel-2017-en-sta_c_tenerife-54328528-covo.aspx,2023-04-12 20:13:13
1775,Diésel,1.0,COMMON.COLOR_GRAY,51768598.0,162000.0,MAZDA,27.0,CX7,613.0,Almería,4.0,12500.0,MAZDA CX7 2.2 CRTD LuxurySR 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2012.0,profesional,1.0,4x4 suv,6.0,2184.0,5.0,173.0,https://www.coches.net/mazda-cx7-22-crtd-luxurysr-5p-diesel-2012-en-almeria-51768598-covo.aspx,2023-04-12 20:13:15
1776,Gasolina,2.0,COMMON.COLOR_GRAY,54628895.0,24000.0,MAZDA,27.0,CX3,1140.0,Las Palmas,35.0,19990.0,MAZDA CX3 2.0 G 89kW 121CV 2WD AT Zenith 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2019.0,profesional,1.0,4x4 suv,6.0,1998.0,5.0,121.0,https://www.coches.net/mazda-cx3-20-g-89kw-121cv-2wd-at-zenith-gasolina-2019-en-las_palmas-54628895-covo.aspx,2023-04-12 20:13:17
1777,Gasolina,2.0,COMMON.COLOR_WHITE,54219224.0,59309.0,MAZDA,27.0,CX3,1140.0,Málaga,29.0,19400.0,MAZDA CX3 2.0 SKYACTIV GE Luxury 2WD AT 5p.,COMMON.TRANSMISSION_AUTOMATIC,1.0,2017.0,profesional,1.0,4x4 suv,6.0,1998.0,5.0,120.0,https://www.coches.net/mazda-cx3-20-skyactiv-ge-luxury-2wd-at-5p-gasolina-2017-en-malaga-54219224-covo.aspx,2023-04-12 20:13:20
1778,Gasolina,2.0,COMMON.COLOR_BLACK,54775371.0,36752.0,MAZDA,27.0,CX5,1016.0,Madrid,28.0,25000.0,MAZDA CX5 2.0 G 121kW 165CV 2WD Evolution 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2019.0,particular,2.0,4x4 suv,6.0,1998.0,5.0,165.0,https://www.coches.net/mazda-cx5-20-g-121kw-165cv-2wd-evolution-5p-gasolina-2019-en-madrid-54775371-covo.aspx,2023-04-12 20:13:22
1779,Gasolina,2.0,COMMON.COLOR_WHITE,54173096.0,44268.0,MAZDA,27.0,CX3,1140.0,Baleares,7.0,19900.0,MAZDA CX3 2.0 SKYACTIV GE Style Nav 2WD 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2017.0,profesional,1.0,4x4 suv,6.0,1998.0,5.0,120.0,https://www.coches.net/mazda-cx3-20-skyactiv-ge-style-nav-2wd-5p-gasolina-2018-en-baleares-54173096-covo.aspx,2023-04-12 20:13:24
1780,Diésel,1.0,COMMON.COLOR_RED,54762143.0,97500.0,MAZDA,27.0,CX5,1016.0,Lugo,27.0,23900.0,MAZDA CX5 2.2 D 110kW 150CV 2WD Evolution 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2018.0,profesional,1.0,4x4 suv,6.0,2191.0,5.0,150.0,https://www.coches.net/mazda-cx5-22-d-110kw-150cv-2wd-evolution-5p-diesel-2018-en-lugo-54762143-covo.aspx,2023-04-12 20:13:25
1781,Gasolina,2.0,COMMON.COLOR_BLUE,54485297.0,66700.0,MAZDA,27.0,CX5,1016.0,Madrid,28.0,22990.0,MAZDA CX5 2.0 G 121kW 165CV 2WD Zenith 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2019.0,profesional,1.0,4x4 suv,6.0,1998.0,5.0,165.0,https://www.coches.net/mazda-cx5-20-g-121kw-165cv-2wd-zenith-gasolina-2019-en-madrid-54485297-covo.aspx,2023-04-12 20:13:27
1782,Diésel,1.0,COMMON.COLOR_GARNET,54774978.0,123000.0,MAZDA,27.0,CX-5,1016.0,Almería,4.0,15400.0,MAZDA CX-5 2.2 DE Black Tech Edition 2WD 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2016.0,particular,2.0,4x4 suv,6.0,2191.0,5.0,150.0,https://www.coches.net/mazda-cx5-22-de-black-tech-edition-2wd-5p-diesel-2016-en-almeria-54774978-covo.aspx,2023-04-12 20:13:30
1783,Diésel,1.0,COMMON.COLOR_WHITE,54356633.0,110000.0,MAZDA,27.0,Mazda6,453.0,Ciudad Real,13.0,18900.0,MAZDA Mazda6 2.2 SKYACTIVED 110kW Evolution Tech WGN 5p.,COMMON.TRANSMISSION_AUTOMATIC,1.0,2018.0,profesional,1.0,familiar,4.0,2191.0,5.0,150.0,https://www.coches.net/mazda-mazda6-22-skyactived-110kw-evolution-tech-wgn-diesel-2018-en-ciudad_real-54356633-covo.aspx,2023-04-12 20:13:32
